"iso_code","iso_code_2","continent","region","income_level","country","location","date","epi_cases_total","epi_cases_total_100k","epi_cases_last_7_days","epi_cases_last_7_days_100k","epi_cases_last_24_hours","epi_deaths_total","epi_deaths_total_100k","epi_deaths_last_7_days","epi_deaths_last_7_days_100k","epi_deaths_last_24_hours","owd_total_cases","owd_new_cases","owd_new_cases_smoothed","owd_total_deaths","owd_new_deaths","owd_new_deaths_smoothed","owd_total_cases_per_million","owd_new_cases_per_million","owd_new_cases_smoothed_per_million","owd_total_deaths_per_million","owd_new_deaths_per_million","owd_new_deaths_smoothed_per_million","owd_reproduction_rate","owd_icu_patients","owd_icu_patients_per_million","owd_hosp_patients","owd_hosp_patients_per_million","owd_weekly_icu_admissions","owd_weekly_icu_admissions_per_million","owd_weekly_hosp_admissions","owd_weekly_hosp_admissions_per_million","owd_new_tests","owd_total_tests","owd_total_tests_per_thousand","owd_new_tests_per_thousand","owd_new_tests_smoothed","owd_new_tests_smoothed_per_thousand","owd_positive_rate","owd_tests_per_case","owd_tests_units","owd_total_vaccinations","owd_people_vaccinated","owd_people_fully_vaccinated","owd_total_boosters","owd_new_vaccinations","owd_new_vaccinations_smoothed","owd_total_vaccinations_per_hundred","owd_people_vaccinated_per_hundred","owd_people_fully_vaccinated_per_hundred","owd_total_boosters_per_hundred","owd_new_vaccinations_smoothed_per_million","owd_stringency_index","owd_population","owd_population_density","owd_median_age","owd_aged_65_older","owd_aged_70_older","owd_gdp_per_capita","owd_extreme_poverty","owd_cardiovasc_death_rate","owd_diabetes_prevalence","owd_female_smokers","owd_male_smokers","owd_handwashing_facilities","owd_hospital_beds_per_thousand","owd_life_expectancy","owd_human_development_index","owd_excess_mortality_cumulative_absolute","owd_excess_mortality_cumulative","owd_excess_mortality","owd_excess_mortality_cumulative_per_million","imf_covidsurge","imf_procurement","imf_totalsupplies","imf_fullyvacc","imf_delivery_max","imf_delivery_avg","imf_target_delivery","imf_diagnostics","imf_genomic","imf_delta","imf_vaccdelivery_gap","imf_diagnostics_gap","imf_genomic_gap","imf_expectedcoverage","imf_procurement_bilateral","imf_procurement_donation","imf_procurement_covax","imf_procurement_other","imf_expectedcoverage_gap","imf_expectedcoverage_gap_doses","imf_vacc_atleastone","imf_total_admin","imf_ratio_admin","imf_target_delivery_70","imf_procurement_gap_70","imf_procurement_gap_doses_70","imf_amc92","imf_archetype","imf_fullyvacc_population","imf_total_delivery","imf_total_administered","ivb_total_vaccination","ivb_persons_vaccinated_1plus_dose","ivb_total_vaccinations_per100","ivb_persons_vaccinated_1plus_dose_per100","ivb_persons_fully_vaccinated","ivb_persons_fully_vaccinated_per100","ivb_vaccines_used","ivb_first_vaccine_date","ivb_number_vaccines_types_used"
"IRN","IR","Asia","EMRO","LMC","Iran (Islamic Republic of)","Iran",11/4/2021 0:00:00,5954962.00,7089.83,55453.00,66.02,0.00,126763.00,150.92,888.00,1.05,0.00,5964824.00,9862.00,9330.71,126921.00,158.00,149.42,70150.66,115.98,109.73,1492.68,1.85,1.75,,,,,,,,,,"112062","35946879","422.761","1.318","108466","1.276","0.086","11.6","tests performed",,,,,,,,,,,,,85028760.00,49.83,32.40,5.44,3.18,19082.62,0.20,270.30,9.59,0.80,21.10,,1.50,76.68,0.78,,,,,0.75,62.00,57.72,42.40,1.44,1.14,,1.25,0.01,,,,4.98,57.00,54.00,1.00,7.00,0.00,13.00,22.10,62.45,52.49,90.91,0.15,7.55,12.80,0.00,"4 - Strengthen",36.05,98.17,89.26,87186623.00,52615937.00,103.80,62.64,34482617.00,41.05,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Shifa - COVIran Barakat",2/9/2021 0:00:00,6.00
"IRQ","IQ","Asia","EMRO","UMC","Iraq","Iraq",11/4/2021 0:00:00,2060066.00,5121.67,7943.00,19.74,1152.00,23271.00,57.85,188.00,0.46,23.00,2060066.00,1152.00,1134.71,23271.00,23.00,26.85,50026.67,27.97,27.55,565.11,0.55,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41179351.00,88.12,20.00,3.18,1.95,15663.98,2.50,218.61,8.83,,,94.57,1.40,70.60,0.67,,,,,0.25,28.00,12.52,8.67,1.05,0.15,1.00,0.48,9.99999977648258e-03,0.00,0.85,0.51,4.98,21.00,8.00,1.00,6.00,13.00,49.00,40.40,14.72,11.70,93.44,0.49,42.44,35.00,0.00,"3 - Leverage",3.57,10.31,9.63,9632835.00,6062577.00,23.94,15.07,3570258.00,8.87,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/2/2021 0:00:00,4.00
"ISL","IS","Europe","EURO","HIC","Iceland","Iceland",11/4/2021 0:00:00,14255.00,3914.76,749.00,205.69,168.00,34.00,9.33,1.00,0.27,0.00,14087.00,164.00,96.28,34.00,0.00,0.14,41026.91,477.63,280.42,99.02,0.00,0.41,,,,,,,,,,"2379","690977","2012.398","6.929","1910","5.563",,,"tests performed",574658.00,283301.00,279044.00,66842.00,,553.00,167.36,82.51,81.27,19.47,1611.00,,343360.00,3.40,37.30,14.43,9.20,46482.95,0.20,117.99,5.31,14.30,15.20,,2.91,82.99,0.94,,,,,1.92,188.00,105.23,81.26,4.23,0.15,,10.06,68.69,0.00,,,,122.00,188.00,0.00,0.00,0.00,,,82.51,83.68,79.51,,0.00,0.00,0.00,"0 - High Income *",0.27,0.72,0.57,506599.00,282321.00,139.10,77.53,224278.00,76.38,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020 0:00:00,4.00
"ISR","IL","Asia","EURO","HIC","Israel","Israel",11/4/2021 0:00:00,1332919.00,15399.60,3859.00,44.58,513.00,8112.00,93.72,21.00,0.24,0.00,1332801.00,554.00,947.14,8112.00,3.00,4.42,151630.82,63.02,107.75,922.89,0.34,0.50,,124.00,14.10,"267","30.376",,,,,"73295","30406255","3459.275","8.339","77623","8.831","0.012","82","tests performed",15959821.00,6244397.00,5739679.00,3975745.00,4762.00,7878.00,181.57,71.04,65.30,45.23,896.00,"56.48",8789776.00,402.60,30.60,11.73,7.35,33132.32,0.50,93.32,6.74,15.40,35.40,,2.99,82.97,0.91,,,,,0.10,241.00,99.83,65.30,2.10,0.10,,9.50,1.61,88.90,,,3.39,124.00,240.00,0.00,1.00,0.00,,,71.04,90.79,90.94,0.01,0.00,0.00,0.00,"0 - High Income *",5.73,17.54,15.96,11974727.00,6237486.00,138.30,72.06,5737241.00,66.28,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/16/2020 0:00:00,3.00
"ITA","IT","Europe","EURO","HIC","Italy","Italy",11/4/2021 0:00:00,4788704.00,8029.14,31473.00,52.77,5902.00,132283.00,221.79,279.00,0.46,59.00,4788704.00,5902.00,4496.14,132283.00,59.00,39.85,79325.90,97.76,74.48,2191.29,0.97,0.66,,,,,,,,,,"514629","105868977","1753.742","8.525","417046","6.908","0.011","92.8","tests performed",90449897.00,46691192.00,43337954.00,1912702.00,189004.00,135441.00,149.83,77.34,71.79,3.17,2244.00,"71.3",60367471.00,205.85,47.90,23.02,16.24,35220.08,2.00,113.15,4.78,19.80,27.80,,3.18,83.51,0.89,,,,,0.18,377.00,82.88,71.79,0.98,0.23,,6.91,1.48,97.09,,,3.51,121.00,58.00,0.00,0.00,319.00,,,77.33,74.92,90.37,,0.00,0.00,0.00,"0 - High Income *",43.33,100.07,90.45,87555818.00,46359338.00,146.80,77.73,41193790.00,71.53,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
"JAM","JM","North America","AMRO","UMC","Jamaica","Jamaica",11/4/2021 0:00:00,89349.00,3017.35,683.00,23.06,133.00,2257.00,76.22,58.00,1.95,8.00,89349.00,133.00,97.57,2257.00,8.00,8.28,30048.81,44.72,32.81,759.04,2.69,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973462.00,266.87,31.40,9.68,6.39,8193.57,,206.53,11.28,5.30,28.60,66.42,1.70,74.47,0.73,,,,,0.86,109.00,33.95,13.89,0.95,0.17,0.81,0.52,0.25,0.00,0.64,0.47,4.73,40.00,0.00,22.00,21.00,66.00,30.00,1.79,20.19,16.15,47.56,0.44,0.00,0.00,0.00,"2 - Connect",0.41,2.01,0.96,911602.00,587405.00,30.78,19.83,420461.00,14.19,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/10/2021 0:00:00,4.00
"JOR","JO","Asia","EMRO","UMC","Jordan","Jordan",11/4/2021 0:00:00,868493.00,8512.02,10151.00,99.48,0.00,11077.00,108.56,77.00,0.75,0.00,870505.00,2012.00,1737.57,11088.00,11.00,12.57,84770.00,195.92,169.20,1079.75,1.07,1.22,,,,,,,,,,"36291","11114632","1082.346","3.534","34003","3.311","0.051","19.6","tests performed",7546438.00,3989035.00,3557403.00,,15448.00,15079.00,73.49,38.85,34.64,,1468.00,,10269022.00,109.28,23.20,3.81,2.36,8337.49,0.10,208.25,11.75,,,,1.40,74.53,0.72,,,,,0.40,61.00,40.34,34.63,0.87,0.17,0.11,3.41,0.10,95.80,,,4.88,44.00,56.00,3.00,2.00,0.00,26.00,5.30,38.84,36.74,91.08,0.28,9.00,1.80,0.00,"4 - Strengthen",3.55,8.28,7.54,7514543.00,3971984.00,73.64,38.92,3542559.00,34.72,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021 0:00:00,6.00
"JPN","JP","Asia","WPRO","HIC","Japan","Japan",11/4/2021 0:00:00,1723599.00,1362.78,5619.00,4.44,204.00,18296.00,14.46,59.00,0.04,6.00,1723070.00,158.00,218.71,18292.00,6.00,8.28,13669.64,1.25,1.73,145.11,0.04,0.06,,,,,,,,,,"58582","25504826","202.338","0.465","44205","0.351","0.018","56","people tested",191044946.00,98487956.00,92556990.00,,449185.00,454172.00,151.56,78.13,73.43,,3603.00,,126050796.00,347.77,48.20,27.04,18.49,39002.22,,79.37,5.72,11.20,33.70,,13.05,84.63,0.91,,,,,0.05,271.00,83.16,73.43,3.97,0.44,,0.36,9.32,100.00,,0.63,,112.00,271.00,0.00,0.00,0.00,,,78.12,75.78,91.12,,0.00,0.00,0.00,"0 - High Income *",92.55,209.64,191.04,187865740.00,97711358.00,148.53,77.25,90154382.00,71.28,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/17/2021 0:00:00,4.00
"KAZ","KZ","Asia","EURO","UMC","Kazakhstan","Kazakhstan",11/4/2021 0:00:00,1025990.00,5464.16,10551.00,56.19,1541.00,17263.00,91.93,185.00,0.98,25.00,1025990.00,1541.00,1507.28,17238.00,37.00,26.85,54013.80,81.12,79.35,907.50,1.94,1.41,,,,,,,,,,,,,,,,,,,15943769.00,8355168.00,7588601.00,,45433.00,41118.00,83.94,43.99,39.95,,2165.00,"71.3",18994958.00,6.68,30.60,6.99,4.62,24055.58,0.10,466.79,7.11,7.00,43.10,98.99,6.70,73.60,0.82,,,,,0.85,70.00,46.02,39.95,1.80,0.23,,2.07,0.05,0.00,,,4.94,49.00,26.00,0.00,0.00,44.00,21.00,8.00,43.99,41.97,91.18,0.23,0.00,0.00,0.00,"3 - Leverage",7.58,17.48,15.94,15763625.00,8281414.00,84.00,44.10,7482211.00,39.84,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,Sinovac - CoronaVac",4/7/2021 0:00:00,4.00
"KEN","KE","Africa","AFRO","LMC","Kenya","Kenya",11/4/2021 0:00:00,253661.00,471.74,643.00,1.19,252.00,5296.00,9.84,26.00,0.04,14.00,253661.00,149.00,91.85,5296.00,14.00,3.71,4613.21,2.71,1.67,96.31,0.25,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54985702.00,87.32,20.00,2.68,1.52,2993.02,36.80,218.63,2.92,1.20,20.40,24.65,1.40,66.70,0.60,,,,,0.14,56.00,8.18,3.16,0.15,0.09,1.25,0.07,1.49,0.00,1.15,0.93,3.50,23.00,0.00,2.00,30.00,24.00,47.00,51.70,6.80,4.99,61.00,0.55,14.00,15.40,1.00,"4 - Strengthen",1.73,8.99,5.48,5482089.00,3744710.00,10.19,6.96,1737379.00,3.23,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/5/2021 0:00:00,5.00
"KGZ","KG","Asia","EURO","LMC","Kyrgyzstan","Kyrgyzstan",11/4/2021 0:00:00,181668.00,2784.52,563.00,8.62,78.00,2681.00,41.09,15.00,0.23,2.00,181590.00,91.00,85.85,2679.00,3.00,2.14,27395.97,13.72,12.95,404.17,0.45,0.32,,,,,,,,,,,,,,,,,,,1783376.00,1004619.00,775733.00,,9551.00,9652.00,26.91,15.16,11.70,,1456.00,,6628347.00,32.33,26.30,4.48,2.88,3393.47,1.40,436.36,7.11,3.60,50.50,89.22,4.50,71.45,0.69,,,,,0.11,57.00,29.44,11.69,0.34,0.15,0.94,,0.00,,0.80,,5.00,27.00,18.00,7.00,30.00,2.00,43.00,5.69,15.15,13.45,45.68,0.47,13.41,1.80,1.00,"2 - Connect",0.77,3.90,1.78,1707752.00,963695.00,26.20,14.77,744057.00,11.40,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac",3/31/2021 0:00:00,4.00
"KHM","KH","Asia","WPRO","LMC","Cambodia","Cambodia",11/4/2021 0:00:00,118870.00,710.98,650.00,3.88,83.00,2813.00,16.82,47.00,0.28,6.00,118870.00,83.00,92.85,2813.00,6.00,6.71,7014.45,4.89,5.47,165.99,0.35,0.39,,,,,,,,,,,,,,,,,,,27910923.00,13898766.00,13123236.00,1942072.00,70569.00,64764.00,164.70,82.02,77.44,11.46,3822.00,,16946446.00,90.67,25.60,4.41,2.38,3645.07,,270.89,4.00,2.00,33.70,66.22,0.80,69.82,0.59,,,,,18.44,112.00,101.30,77.44,1.71,0.30,,323.64,1.17,87.19,,,3.81,98.00,52.00,30.00,30.00,0.00,,,82.01,82.35,81.29,,0.00,0.00,1.00,"3 - Leverage",13.12,34.33,27.91,27488038.00,13701863.00,164.41,81.95,13046418.00,78.03,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",2/10/2021 0:00:00,5.00
"KIR","KI","Oceania","WPRO","LMC","Kiribati","Kiribati",11/4/2021 0:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,,0.00,16.47,0.00,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121388.00,143.70,23.20,3.89,2.21,1981.13,,434.65,22.66,35.90,58.90,,1.90,68.37,0.63,,,,,,67.00,79.91,9.27,1.23,0.87,0.46,,,,,,,79.00,0.00,37.00,30.00,0.00,,,44.50,26.89,33.65,0.36,2.93,0.00,1.00,"2 - Connect",0.01,0.19,0.06,65279.00,54026.00,54.65,45.22,11253.00,9.42,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",5/26/2021 0:00:00,2.00
"KNA","KN","North America","AMRO","HIC","Saint Kitts and Nevis","Saint Kitts and Nevis",11/4/2021 0:00:00,2696.00,5068.43,39.00,73.31,10.00,25.00,47.00,4.00,7.52,0.00,2701.00,5.00,5.28,25.00,0.00,0.57,50442.61,93.37,98.71,466.88,0.00,10.67,,,,,,,,,,"355","53112","991.895","6.63","193","3.604","0.027","36.5","people tested",,,,,,,,,,,,,53546.00,212.86,,,,24654.38,,,12.84,,,,2.30,76.23,0.77,,,,,5.00,57.00,52.56,45.68,1.66,0.20,,5.01,0.47,,,,4.51,51.00,0.00,32.00,20.00,4.00,19.00,0.00,48.66,47.18,89.75,0.18,12.95,0.00,0.00,"0 - High Income *",0.02,0.05,0.05,50202.00,25921.00,94.37,48.73,24281.00,45.64,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021 0:00:00,3.00
"KOR","KR","Asia","WPRO","HIC","Republic of Korea","South Korea",11/4/2021 0:00:00,375464.00,732.33,14928.00,29.11,2344.00,2936.00,5.72,119.00,0.23,20.00,375464.00,2344.00,2132.57,2936.00,20.00,17.00,7318.24,45.68,41.56,57.22,0.39,0.33,,,,,,,,,,,,,,,,,,,79283957.00,41398611.00,39099285.00,274352.00,226743.00,291415.00,154.53,80.69,76.21,0.53,5680.00,,51305184.00,527.96,43.40,13.91,8.62,35938.37,0.20,85.99,6.80,6.20,40.90,,12.27,83.03,0.91,,,,,2.66,208.00,84.73,76.20,1.75,0.76,,0.86,4.51,,,0.14,0.47,121.00,203.00,3.00,2.00,0.00,,,80.69,77.27,91.18,,0.00,0.00,0.00,"0 - High Income *",39.09,86.95,79.28,78311712.00,41135997.00,152.74,80.23,38660478.00,75.40,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/26/2021 0:00:00,5.00
"KWT","KW","Asia","EMRO","HIC","Kuwait","Kuwait",11/4/2021 0:00:00,412752.00,9665.03,133.00,3.11,0.00,2462.00,57.65,1.00,0.02,0.00,412768.00,16.00,21.28,2462.00,0.00,0.14,95359.35,3.69,4.91,568.78,0.00,0.03,,,,,,,,,,"14773","4892313","1130.242","3.413","17220","3.978","0.001","809","tests performed",,,,,,,,,,,,,4328553.00,232.12,33.70,2.34,1.11,65530.53,,132.23,15.84,2.70,37.00,,2.00,75.49,0.80,,,,,0.01,62.00,53.31,21.32,0.93,0.27,,4.18,0.07,100.00,,,4.92,61.00,61.00,0.00,0.00,0.00,9.00,0.80,61.63,27.44,51.47,0.23,8.36,0.70,0.00,"0 - High Income *",0.92,4.61,2.37,2668082.00,528841.00,62.47,12.38,923307.00,21.62,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/28/2020 0:00:00,5.00
"LAO","LA","Asia","WPRO","LMC","Lao People's Democratic Republic","Laos",11/4/2021 0:00:00,44061.00,605.60,5780.00,79.44,1170.00,76.00,1.04,17.00,0.23,3.00,44061.00,1170.00,825.71,76.00,3.00,2.42,5970.84,158.55,111.89,10.29,0.40,0.32,,,,,,,,,,,"724200","98.139",,"5166","0.7","0.16","6.3","people tested",,,,,,,,,,,,,7379358.00,29.71,24.40,4.02,2.32,6397.36,22.70,368.11,4.00,7.30,51.20,49.83,1.50,67.92,0.61,,,,,1170.00,56.00,42.97,37.63,1.98,0.31,,0.55,0.03,,,0.44,4.96,42.00,0.00,26.00,30.00,0.00,28.00,4.09,44.06,29.83,69.40,0.25,13.56,2.00,1.00,"2 - Connect",2.77,6.34,4.40,4213630.00,3018273.00,57.91,41.48,2126318.00,29.22,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/25/2020 0:00:00,8.00
"LBN","LB","Asia","EMRO","UMC","Lebanon","Lebanon",11/4/2021 0:00:00,643749.00,9431.60,3754.00,55.00,0.00,8522.00,124.85,42.00,0.61,0.00,644391.00,642.00,628.00,8528.00,6.00,6.85,95195.24,94.84,92.77,1259.83,0.88,1.01,,,,,,,,,,,,,,,,,,,3352269.00,1795891.00,1556378.00,,9292.00,8456.00,49.52,26.53,22.99,,1249.00,,6769151.00,594.56,31.10,8.51,5.43,13367.56,,266.59,12.71,26.90,40.70,,2.90,78.93,0.74,,,,,0.34,35.00,27.15,22.98,0.54,0.20,0.54,2.00,0.15,0.00,0.34,,4.84,36.00,7.00,1.00,10.00,17.00,34.00,4.59,26.53,24.76,91.16,0.37,35.49,4.80,0.00,"3 - Leverage",1.55,3.67,3.35,3506991.00,1856648.00,51.38,27.20,1641753.00,24.05,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/14/2021 0:00:00,4.00
"LBR","LR","Africa","AFRO","LIC","Liberia","Liberia",11/4/2021 0:00:00,5815.00,114.97,3.00,0.05,0.00,287.00,5.67,0.00,0.00,0.00,5815.00,0.00,0.42,287.00,0.00,0.00,1122.54,0.00,0.08,55.40,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180208.00,49.12,19.20,3.05,1.75,752.78,38.60,272.50,2.42,1.50,18.10,1.18,0.80,64.10,0.48,,,,,0.00,38.00,8.63,7.17,0.33,0.15,1.15,0.03,1.32,0.00,1.00,0.97,3.68,20.00,0.00,0.00,30.00,7.00,50.00,5.19,7.61,4.23,49.02,0.52,32.28,3.30,1.00,"2 - Connect",0.37,0.89,0.43,438563.00,393975.00,8.67,7.79,371645.00,7.34,"SII - Covishield",4/1/2021 0:00:00,1.00
"LBY","LY","Africa","EMRO","UMC","Libya","Libya",11/4/2021 0:00:00,359667.00,5234.34,3581.00,52.11,648.00,5171.00,75.25,110.00,1.60,14.00,359667.00,648.00,511.57,5171.00,14.00,15.71,51687.15,93.12,73.51,743.11,2.01,2.25,,,,,,,,,,"4406",,,"0.633",,,,,"samples tested",2020518.00,1560096.00,460422.00,,,17098.00,29.04,22.42,6.62,,2457.00,,6958538.00,3.62,29.00,4.42,2.81,17881.50,,341.86,10.43,,,,3.70,72.91,0.72,,,,,0.63,82.00,24.76,6.61,0.56,0.56,0.91,0.57,9.99999977648258e-03,,0.34,0.43,4.98,39.00,68.00,6.00,8.00,0.00,31.00,4.30,22.42,14.52,58.63,0.46,0.00,0.00,0.00,"2 - Connect",0.46,3.44,2.02,2020518.00,1560096.00,29.40,22.70,460422.00,6.70,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4/11/2021 0:00:00,7.00
"LCA","LC","North America","AMRO","UMC","Saint Lucia","Saint Lucia",11/4/2021 0:00:00,12645.00,6886.24,159.00,86.58,35.00,260.00,141.59,7.00,3.81,1.00,12645.00,35.00,18.28,260.00,1.00,1.00,68573.38,189.80,99.16,1409.97,5.42,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184401.00,293.18,34.90,9.72,6.40,12951.83,,204.62,11.62,,,87.20,1.30,76.20,0.75,,,,,4.38,51.00,41.22,23.03,1.03,0.23,0.51,,0.34,,0.28,,4.65,131.00,0.00,21.00,30.00,0.00,,,28.04,25.54,61.95,0.37,18.95,0.10,1.00,"2 - Connect",0.04,0.15,0.09,91593.00,50766.00,49.88,27.64,40827.00,22.23,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021 0:00:00,3.00
"LIE","LI","Europe","OTHER","","Liechtenstein","Liechtenstein",11/4/2021 0:00:00,3728.00,9621.39,61.00,157.43,0.00,58.00,149.68,0.00,0.00,0.00,3708.00,9.00,7.85,61.00,0.00,0.00,96931.04,235.27,205.39,1594.60,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38254.00,237.01,,,,,,,7.77,,,,2.39,82.49,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48727.00,25070.00,125.75,64.70,24440.00,63.07,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.00
"LKA","LK","Asia","SEARO","LMC","Sri Lanka","Sri Lanka",11/4/2021 0:00:00,543385.00,2537.61,3969.00,18.53,0.00,13806.00,64.47,100.00,0.46,0.00,543385.00,592.00,646.42,13806.00,15.00,15.71,25276.88,27.53,30.07,642.22,0.69,0.73,,,,,,,,,,"6088","5495250","255.625","0.283","5731","0.267","0.113","8.9","tests performed",29239575.00,15718509.00,13521066.00,,66890.00,94001.00,136.02,73.12,62.90,,4373.00,,21497306.00,341.95,34.10,10.06,5.33,11669.07,0.70,197.09,10.68,0.30,27.00,,3.60,76.98,0.78,,,,,0.92,117.00,74.63,62.90,2.26,0.52,,0.26,0.31,88.00,,0.74,4.69,98.00,34.00,8.00,30.00,44.00,,,73.12,68.01,91.12,0.01,0.00,0.00,1.00,"4 - Strengthen",13.52,32.09,29.24,29172685.00,15671510.00,136.23,73.18,13501175.00,63.05,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/29/2021 0:00:00,6.00
"LSO","LS","Africa","AFRO","LMC","Lesotho","Lesotho",11/4/2021 0:00:00,21672.00,1011.64,48.00,2.24,29.00,658.00,30.71,1.00,0.04,0.00,21672.00,29.00,6.85,658.00,0.00,0.14,10037.66,13.43,3.17,304.76,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159067.00,73.56,22.20,4.50,2.64,2851.15,59.60,405.12,3.94,0.40,53.90,2.11,,54.33,0.52,,,,,0.36,111.00,21.56,15.72,0.80,0.10,0.86,0.77,0.07,,0.75,0.23,4.92,39.00,5.00,5.00,30.00,71.00,31.00,1.29,16.11,8.88,41.16,0.46,0.00,0.00,1.00,"2 - Connect",0.33,0.93,0.38,559450.00,647692.00,26.11,30.23,514509.00,24.01,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/10/2021 0:00:00,3.00
"LTU","LT","Europe","EURO","HIC","Lithuania","Lithuania",11/4/2021 0:00:00,421360.00,15080.40,18309.00,655.27,3282.00,6047.00,216.42,247.00,8.84,37.00,418078.00,3261.00,2649.42,6010.00,39.00,34.85,155427.30,1212.33,984.96,2234.31,14.49,12.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46.3",2689862.00,45.13,43.50,19.00,13.77,29524.26,0.70,342.98,3.67,21.30,38.00,,6.56,75.93,0.88,,,,,1.28,319.00,132.03,64.25,1.11,0.20,,4.82,5.15,99.30,,,,144.00,0.00,0.00,0.00,319.00,,,67.48,63.30,47.93,0.02,0.00,0.00,0.00,"0 - High Income *",1.72,7.10,3.40,3307282.00,1811534.00,118.40,64.99,1491357.00,61.46,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020 0:00:00,4.00
